genres,movie_title,movie_id,movie_imdb_link,imdb_score
Drama,Salaam Venky,tt15567704,https://www.imdb.com/title/tt15567704/?ref_=fn_tt_tt_1,6.6
Crime|Drama|Thriller,Vadh,tt10233718,https://www.imdb.com/title/tt10233718/?ref_=fn_tt_tt_1,7.2
Action|Thriller,Faraaz,tt15175188,https://www.imdb.com/title/tt15175188/?ref_=fn_tt_tt_1,5
Action|Adventure|Comedy,Sholay,tt0073707,https://www.imdb.com/title/tt0073707/?ref_=fn_tt_tt_1,8.1
Drama|Horror,1920: Horrors of the Heart,tt25403492,https://www.imdb.com/title/tt25403492/?ref_=fn_tt_tt_1,2.6
Crime|Drama|Mystery,Section 375,tt8144834,https://www.imdb.com/title/tt8144834/?ref_=fn_tt_tt_1,8.1
Romance,Shiddat,tt11314148,https://www.imdb.com/title/tt11314148/?ref_=fn_tt_tt_1,7.6
Drama|Family|Mystery,Jalpari: The Desert Mermaid,tt2387495,https://www.imdb.com/title/tt2387495/?ref_=fn_tt_tt_1,7.4
Crime|Drama|Mystery,The Girl on the Train,tt8907992,https://www.imdb.com/title/tt8907992/?ref_=fn_tt_tt_1,4
Comedy|Drama,Piku,tt3767372,https://www.imdb.com/title/tt3767372/?ref_=fn_tt_tt_1,7.6
Action|Crime|Drama,Kennedy,tt27502523,https://www.imdb.com/title/tt27502523/?ref_=fn_tt_tt_1,6.2
Action|Crime|Drama,Company,tt0296574,https://www.imdb.com/title/tt0296574/?ref_=fn_tt_tt_1,8
Mystery|Thriller,Kahaani,tt1821480,https://www.imdb.com/title/tt1821480/?ref_=fn_tt_tt_1,8.1
Drama|Romance,Dil Se..,tt0164538,https://www.imdb.com/title/tt0164538/?ref_=fn_tt_tt_1,7.5
Comedy|Drama,Laapataa Ladies,tt21626284,https://www.imdb.com/title/tt21626284/?ref_=fn_tt_tt_1,8.4
Comedy|Drama|Family,Goodbye,tt14438964,https://www.imdb.com/title/tt14438964/?ref_=fn_tt_tt_1,6.8
Action|Drama|History,Uri: The Surgical Strike,tt8291224,https://www.imdb.com/title/tt8291224/?ref_=fn_tt_tt_1,8.2
Action|Crime|Thriller,Sooryavanshi,tt9531772,https://www.imdb.com/title/tt9531772/?ref_=fn_tt_tt_1,6
Crime|Drama|Romance,Highway,tt2980794,https://www.imdb.com/title/tt2980794/?ref_=fn_tt_tt_1,7.6
Comedy|Drama|Romance,Tamasha,tt3148502,https://www.imdb.com/title/tt3148502/?ref_=fn_tt_tt_1,7.3
Crime|Thriller,Operation Mayfair,tt21403688,https://www.imdb.com/title/tt21403688/?ref_=fn_tt_tt_1,2.4
Action|Crime|Drama,Agneepath,tt1849718,https://www.imdb.com/title/tt1849718/?ref_=fn_tt_tt_1,6.9
Drama|Romance,Lootera,tt2224317,https://www.imdb.com/title/tt2224317/?ref_=fn_tt_tt_1,7.4
Comedy|Drama|Romance,Dostana,tt1185420,https://www.imdb.com/title/tt1185420/?ref_=fn_tt_tt_1,6.4
Comedy|Romance,Dream Girl,tt9248940,https://www.imdb.com/title/tt9248940/?ref_=fn_tt_tt_1,7
Comedy|Crime|Drama,Chandigarh Kare Aashiqui,tt12861850,https://www.imdb.com/title/tt12861850/?ref_=fn_tt_tt_1,6.8
Action|Crime|Drama,Dhoom: 3,tt1833673,https://www.imdb.com/title/tt1833673/?ref_=fn_tt_tt_1,5.4
Crime|Drama|Horror,UTurn,tt14988886,https://www.imdb.com/title/tt14988886/?ref_=fn_tt_tt_1,6.2
Crime|Drama|Mystery,Haseen Dillruba,tt11027830,https://www.imdb.com/title/tt11027830/?ref_=fn_tt_tt_1,6.9
Action|Adventure|Drama,Shamshera,tt8426926,https://www.imdb.com/title/tt8426926/?ref_=fn_tt_tt_1,4.7
Comedy|Romance,Bareilly Ki Barfi,tt6967980,https://www.imdb.com/title/tt6967980/?ref_=fn_tt_tt_1,7.5
Action|Crime|Drama,Thar,tt14479746,https://www.imdb.com/title/tt14479746/?ref_=fn_tt_tt_1,6.1
Adventure|Drama,Uunchai,tt15309708,https://www.imdb.com/title/tt15309708/?ref_=fn_tt_tt_1,7
Drama|Horror|Mystery,No Smoking,tt0995740,https://www.imdb.com/title/tt0995740/?ref_=fn_tt_tt_1,7.3
Drama|Fantasy|Mystery,Dobaaraa,tt14042066,https://www.imdb.com/title/tt14042066/?ref_=fn_tt_tt_1,4.8
Drama|Horror|Mystery,Bulbbul,tt12393526,https://www.imdb.com/title/tt12393526/?ref_=fn_tt_tt_1,6.5
Comedy|Drama|Family,Kapoor & Sons,tt4900716,https://www.imdb.com/title/tt4900716/?ref_=fn_tt_tt_1,7.7
Comedy|Drama,The Crew,tt21383812,https://www.imdb.com/title/tt21383812/?ref_=fn_tt_tt_1,6.5
Comedy|Drama|Musical,The Archies,tt15979666,https://www.imdb.com/title/tt15979666/?ref_=fn_tt_tt_1,4.3
Action|Drama|Thriller,Mumbaikar,tt13732212,https://www.imdb.com/title/tt13732212/?ref_=fn_tt_tt_1,4.8
Action|Drama|Thriller,Yodha,tt16139258,https://www.imdb.com/title/tt16139258/?ref_=fn_tt_tt_1,6.3
Drama|Thriller,Jalsa,tt15361028,https://www.imdb.com/title/tt15361028/?ref_=fn_tt_tt_1,6.6
Crime|Drama|Thriller,Gulaal,tt1261047,https://www.imdb.com/title/tt1261047/?ref_=fn_tt_tt_1,8
Action|Crime|Drama,Raid,tt7363076,https://www.imdb.com/title/tt7363076/?ref_=fn_tt_tt_1,7.4
Action|Crime|Drama,Black Friday,tt0400234,https://www.imdb.com/title/tt0400234/?ref_=fn_tt_tt_1,8.4
Drama|Romance,The Sky Is Pink,tt8902990,https://www.imdb.com/title/tt8902990/?ref_=fn_tt_tt_1,7.6
Comedy|Drama|Music,Student of the Year,tt2172071,https://www.imdb.com/title/tt2172071/?ref_=fn_tt_tt_1,5.3
Action|Drama|History,Jodhaa Akbar,tt0449994,https://www.imdb.com/title/tt0449994/?ref_=fn_tt_tt_1,7.5
Drama|Sport,Jersey,tt5301942,https://www.imdb.com/title/tt5301942/?ref_=fn_tt_tt_1,7.3
Drama|Romance,Gehraiyaan,tt10733228,https://www.imdb.com/title/tt10733228/?ref_=fn_tt_tt_1,5.8
Adventure|Comedy|Drama,Queen,tt3322420,https://www.imdb.com/title/tt3322420/?ref_=fn_tt_tt_1,8.1
Action|Comedy|Crime,Dabangg 3,tt7059844,https://www.imdb.com/title/tt7059844/?ref_=fn_tt_tt_1,3
Action|Drama|Romance,Darr,tt0109555,https://www.imdb.com/title/tt0109555/?ref_=fn_tt_tt_1,7.6
Action|Comedy|Drama,Ala Vaikunthapurramuloo,tt9537292,https://www.imdb.com/title/tt9537292/?ref_=fn_tt_tt_1,7.3
Crime|Drama|Mystery,Kolai,tt15709840,https://www.imdb.com/title/tt15709840/?ref_=fn_tt_tt_1,5.2
Action|Crime|Drama,Dhoom,tt0422091,https://www.imdb.com/title/tt0422091/?ref_=fn_tt_tt_1,6.6
Biography|Drama,Super 30,tt7485048,https://www.imdb.com/title/tt7485048/?ref_=fn_tt_tt_1,7.9
Drama|Thriller,A Death in the Gunj,tt5918074,https://www.imdb.com/title/tt5918074/?ref_=fn_tt_tt_1,7.4
Action|Crime|Thriller,Dhoom: 2,tt0441048,https://www.imdb.com/title/tt0441048/?ref_=fn_tt_tt_1,6.5
Action|Crime|Drama,Kaabil,tt5460276,https://www.imdb.com/title/tt5460276/?ref_=fn_tt_tt_1,7.1
Comedy|Drama|Romance,Dum Laga Ke Haisha,tt3495030,https://www.imdb.com/title/tt3495030/?ref_=fn_tt_tt_1,7.5
