genres,movie_title,movie_id,movie_imdb_link
Action|Comedy|Drama,Suhaag,tt0079963,https://www.imdb.com/title/tt0079963/?ref_=fn_tt_tt_1
Action|Drama,Annamalai,tt0139859,https://www.imdb.com/title/tt0139859/?ref_=fn_tt_tt_1
Drama,Saaransh,tt0088031,https://www.imdb.com/title/tt0088031/?ref_=fn_tt_tt_1
Comedy,All India Rank,tt24973142,https://www.imdb.com/title/tt24973142/?ref_=fn_tt_tt_1
Drama|Family|Romance,Silsila,tt0083081,https://www.imdb.com/title/tt0083081/?ref_=fn_tt_tt_1
Comedy|Drama|Fantasy,Great Grand Masti,tt4675030,https://www.imdb.com/title/tt4675030/?ref_=fn_tt_tt_1
Horror|Romance|Thriller,100 Days,tt0101244,https://www.imdb.com/title/tt0101244/?ref_=fn_tt_tt_1
Thriller,Sheela I Love You,tt3848456,https://www.imdb.com/title/tt3848456/?ref_=fn_tt_tt_1
Drama,Mr. & Mrs. Mahi,tt16227342,https://www.imdb.com/title/tt16227342/?ref_=fn_tt_tt_1
Drama|Thriller,Road to Sangam,tt1471247,https://www.imdb.com/title/tt1471247/?ref_=fn_tt_tt_1
Romance|Musical|Action,Suraj,tt0061046,https://www.imdb.com/title/tt0061046/?ref_=fn_tt_tt_1
Comedy|Drama|Romance,Honeymoon Travels Pvt. Ltd.,tt0808306,https://www.imdb.com/title/tt0808306/?ref_=fn_tt_tt_1
Action|Crime|Drama,Jung,tt0289725,https://www.imdb.com/title/tt0289725/?ref_=fn_tt_tt_1
Action|Adventure|Drama,Raavan,tt1334470,https://www.imdb.com/title/tt1334470/?ref_=fn_tt_tt_1
Drama|Thriller,City Lights,tt3709344,https://www.imdb.com/title/tt3709344/?ref_=fn_tt_tt_1
Action|Drama|History,Kaala Patthar,tt0079386,https://www.imdb.com/title/tt0079386/?ref_=fn_tt_tt_1
Action|Thriller,Blank,tt9052936,https://www.imdb.com/title/tt9052936/?ref_=fn_tt_tt_1
Comedy,Mitron,tt8852558,https://www.imdb.com/title/tt8852558/?ref_=fn_tt_tt_1
Comedy|Horror,Mahakaal,tt0260155,https://www.imdb.com/title/tt0260155/?ref_=fn_tt_tt_1
Adventure|Drama|Musical,Daku Ramkali,tt1027807,https://www.imdb.com/title/tt1027807/?ref_=fn_tt_tt_1
Crime|Drama,Ajji,tt6471054,https://www.imdb.com/title/tt6471054/?ref_=fn_tt_tt_1
Mystery,Mudrank: The Stamp,tt5202770,https://www.imdb.com/title/tt5202770/?ref_=fn_tt_tt_1
Action|Drama|Romance,Aarzoo,tt0284811,https://www.imdb.com/title/tt0284811/?ref_=fn_tt_tt_1
Comedy|Crime|Drama,Bluffmaster!,tt0476527,https://www.imdb.com/title/tt0476527/?ref_=fn_tt_tt_1
Comedy,Oh Darling Yeh Hai India,tt0114031,https://www.imdb.com/title/tt0114031/?ref_=fn_tt_tt_1
Animation|Action|Adventure,Ramayana: The Epic,tt1744641,https://www.imdb.com/title/tt1744641/?ref_=fn_tt_tt_1
